node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Artigo 537,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 538,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 539,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 540,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 541,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 542,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 543,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 544,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 545,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 546,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 547,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 548,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 549,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 550,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 551,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 552,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 553,2,0,0.00972324029423411,1.036048943281758e-05,6
Artigo 578,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 579,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 580,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 581,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 582,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 583,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 584,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 626,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 627,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 628,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 629,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 630,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 631,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 632,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 633,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 634,2,0,0.00972324029423411,1.3568681554201629e-05,6
Artigo 635,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 636,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 637,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 638,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 639,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 640,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 641,2,0,0.00972324029423411,1.3568681554201629e-05,6
Artigo 642,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 643,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 644,2,0,0.00972324029423411,1.3568681554201629e-05,6
Artigo 645,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 652,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 653,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 654,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 655,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 656,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 657,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 658,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 659,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 660,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 661,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 662,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 663,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 664,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 665,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 729,2,0,0.00972324029423411,2.041587540712286e-05,6
Artigo 730,2,0,0.00972324029423411,1.017651116565123e-05,6
